IDlist,FlagPDF,TotalWordsPDF,AvgWordsSentencePDF,Year,Keyword,Count_PDF,Count_Abs,FlagAbs,AvgWordsSentenceAbs,TotalWordsAbs
1803.00461v4,Yes,10938,9.44559585492228,2018,commendable,0,0,Yes,32.0,256
1306.3789v1,Yes,3643,9.688829787234043,2013,commendable,0,0,No,13.0,13
2402.08689v1,Yes,2408,5.733333333333333,2024,commendable,0,0,No,5.0,35
1901.01065v1,Yes,9678,8.180896027049874,2019,commendable,0,0,No,14.833333333333334,89
1506.03605v1,Yes,4144,8.222222222222221,2015,commendable,0,0,Yes,19.4,97
1612.08033v1,Yes,3843,15.12992125984252,2016,commendable,0,0,No,20.5,82
2103.05507v1,Yes,6781,9.40499306518724,2021,commendable,0,0,No,25.0,125
2301.03425v1,No,4218,4.282233502538071,2023,commendable,0,0,No,15.3,153
2312.15034v2,Yes,10743,12.277714285714286,2023,commendable,0,0,No,9.3125,149
1203.2019v1,Yes,5569,8.811708860759493,2012,commendable,0,0,No,19.8,99
2305.18956v1,Yes,12666,10.364975450081833,2023,commendable,0,0,No,12.066666666666666,181
1310.0283v1,Yes,21800,11.03238866396761,2013,commendable,0,0,Yes,20.833333333333332,250
2402.05214v1,Yes,17767,8.914701455092825,2024,commendable,0,0,No,9.310344827586206,270
1304.4483v1,No,4035,10.5078125,2013,commendable,0,0,No,14.4,144
1706.00315v1,Yes,10900,8.535630383711824,2017,commendable,0,0,No,14.0,140
1909.11489v2,Yes,5131,8.923478260869565,2019,commendable,0,0,No,15.857142857142858,111
1611.05695v1,Yes,6844,9.125333333333334,2016,commendable,0,0,No,11.272727272727273,124
1709.02199v1,No,6696,6.72289156626506,2017,commendable,0,0,No,18.833333333333332,113
1508.01120v1,Yes,7966,11.836552748885588,2015,commendable,0,0,Yes,10.866666666666667,163
1504.03859v1,Yes,11185,11.151545363908276,2015,commendable,0,0,No,21.0,189
1910.01152v1,No,4970,6.836313617606603,2019,commendable,0,0,No,13.8,138
2004.03229v1,Yes,6581,6.144724556489263,2020,commendable,0,0,No,17.333333333333332,104
1402.7300v2,Yes,12653,9.800929512006196,2014,commendable,0,0,No,26.22222222222222,236
1409.8079v3,Yes,10733,9.236660929432016,2014,commendable,0,0,Yes,19.083333333333332,229
1708.03934v1,Yes,12392,10.29235880398671,2017,commendable,0,0,Yes,19.09090909090909,210
1207.5693v3,Yes,11054,10.159926470588236,2012,commendable,0,0,No,34.333333333333336,103
2112.11981v1,Yes,9597,6.609504132231405,2021,commendable,0,0,No,24.875,199
1311.5371v1,Yes,8561,9.501664816870145,2013,commendable,0,0,No,27.5,165
1702.07152v1,Yes,5143,9.167557932263817,2017,commendable,0,0,Yes,22.0,154
1801.05267v1,Yes,4336,7.883636363636364,2018,commendable,0,0,No,12.777777777777779,115
2101.00842v2,Yes,15302,7.259013282732448,2021,commendable,0,0,No,16.7,167
2110.06644v1,Yes,9001,9.837158469945356,2021,commendable,0,0,No,10.928571428571429,153
0903.2968v1,Yes,4049,14.512544802867383,2009,commendable,0,0,Yes,16.4,82
1309.6416v1,Yes,3626,9.369509043927648,2013,commendable,0,0,No,16.8,84
1607.08076v2,Yes,5153,9.185383244206774,2016,commendable,0,0,Yes,20.428571428571427,143
1703.08074v1,Yes,5535,7.698191933240612,2017,commendable,0,0,No,12.153846153846153,158
1611.02658v1,Yes,8987,9.29369183040331,2016,commendable,0,0,No,9.947368421052632,189
1205.5191v2,Yes,24040,7.907894736842105,2012,commendable,0,0,No,12.1875,195
1801.05783v1,Yes,66227,5.447643333059143,2018,commendable,0,0,No,26.545454545454547,292
1507.04107v2,Yes,12216,7.649342517219787,2015,commendable,0,0,No,12.823529411764707,218
1508.03221v1,Yes,6662,9.002702702702702,2015,commendable,0,0,No,18.363636363636363,202
2202.10061v1,Yes,22098,13.068007096392668,2022,commendable,0,0,No,11.875,190
2211.09615v2,Yes,10818,12.520833333333334,2022,commendable,0,0,No,12.526315789473685,238
2312.15030v2,Yes,30587,10.56545768566494,2023,commendable,0,0,No,11.714285714285714,246
0911.4348v1,Yes,6418,9.026722925457102,2009,commendable,0,0,No,23.333333333333332,140
1201.1711v1,Yes,4343,15.62230215827338,2012,commendable,0,0,No,19.0,133
1902.06741v1,Yes,9887,9.452198852772469,2019,commendable,0,0,No,21.0,168
2009.09180v1,Yes,6649,4.240433673469388,2020,commendable,0,0,Yes,22.2,111
1402.7182v2,Yes,20347,14.258584442887177,2014,commendable,0,0,No,19.90909090909091,219
1201.1714v2,Yes,13238,13.832810867293626,2012,commendable,0,0,Yes,24.8,124
2110.12657v1,Yes,9345,8.336306868867084,2021,commendable,0,0,Yes,20.555555555555557,185
1602.06928v2,Yes,10905,10.65982404692082,2016,commendable,0,0,No,29.142857142857142,204
1407.1645v1,Yes,6037,13.942263279445728,2014,commendable,0,0,Yes,13.4,134
1608.04601v2,Yes,11139,14.579842931937172,2016,commendable,0,0,No,29.333333333333332,176
1110.2465v1,Yes,2470,9.840637450199203,2011,commendable,0,0,Yes,15.0,90
1110.3440v1,Yes,5128,9.567164179104475,2011,commendable,0,0,No,16.142857142857142,113
2007.15471v1,Yes,13722,7.233526620980496,2020,commendable,0,0,No,11.818181818181818,130
2008.04605v1,Yes,9123,5.279513888888889,2020,commendable,0,0,No,14.384615384615385,187
2203.12288v1,Yes,8298,8.064139941690962,2022,commendable,0,0,No,21.88888888888889,197
2304.10807v1,Yes,10285,6.075014766686356,2023,commendable,0,0,No,11.357142857142858,159
2204.08250v2,Yes,14127,8.369075829383887,2022,commendable,0,0,No,13.95,279
1907.08473v1,Yes,10123,7.577095808383233,2019,commendable,0,0,No,22.0,176
2104.02405v1,Yes,17890,10.449766355140186,2021,commendable,0,0,Yes,22.75,182
2303.04576v1,Yes,13881,9.747893258426966,2023,commendable,0,0,No,32.5,195
1812.10253v1,Yes,7240,7.479338842975206,2018,commendable,0,0,No,23.75,95
2212.08326v2,Yes,44270,8.740375123395854,2022,commendable,0,0,No,24.454545454545453,269
2405.10627v1,Yes,88966,9.03299827393644,2024,commendable,0,0,No,15.875,254
1206.3185v1,No,3466,11.591973244147155,2012,commendable,0,0,No,13.25,53
1607.06365v1,Yes,5969,10.435314685314683,2016,commendable,0,0,No,17.2,86
0909.3496v1,Yes,4700,9.730848861283643,2009,commendable,0,0,Yes,21.3,213
0804.2979v1,Yes,12678,12.44160942100098,2008,commendable,0,0,No,16.857142857142858,118
1503.05099v1,Yes,21810,13.12274368231047,2015,commendable,0,0,No,17.857142857142858,250
1803.02055v1,Yes,9071,12.812146892655369,2018,commendable,0,0,Yes,25.0,125
0711.3734v2,Yes,10545,5.947546531302876,2007,commendable,0,0,No,19.583333333333332,235
1604.05333v1,Yes,11927,9.980753138075311,2016,commendable,0,0,No,18.25,219
0901.0106v1,Yes,6395,6.579218106995885,2008,commendable,0,0,No,15.058823529411764,256
1802.06873v2,Yes,16896,12.790310370931111,2018,commendable,0,0,Yes,18.384615384615383,239
0711.4760v1,No,1670,10.915032679738562,2007,commendable,0,0,No,21.0,168
1610.07879v3,No,9328,10.10617551462622,2016,commendable,0,0,No,16.181818181818183,178
1704.02193v2,Yes,6823,11.022617124394184,2017,commendable,0,0,No,12.533333333333333,188
1909.08883v1,Yes,5398,9.886446886446889,2019,commendable,0,0,No,14.5,232
1603.09525v1,Yes,8286,9.026143790849671,2016,commendable,0,0,No,25.7,257
0905.0252v1,Yes,9845,9.40305635148042,2009,commendable,0,0,No,21.77777777777778,196
1306.4312v2,Yes,12540,8.702290076335878,2013,commendable,0,0,No,17.157894736842106,326
2312.01483v1,Yes,9454,6.8161499639509735,2023,commendable,0,0,No,16.375,131
1904.12474v1,Yes,40891,7.324198459609529,2019,commendable,0,0,No,15.8,79
2012.03626v1,Yes,9433,9.51866801210898,2020,commendable,0,0,No,17.571428571428573,123
2109.04799v1,Yes,11330,2.520017793594306,2021,commendable,0,0,No,18.0,306
1802.07050v2,Yes,12627,8.451807228915662,2018,commendable,0,0,No,11.166666666666666,201
1207.4318v1,Yes,8010,13.003246753246753,2012,commendable,0,0,No,18.25,146
1801.07184v2,Yes,6382,11.137870855148345,2018,commendable,0,0,No,20.2,101
1606.04004v2,Yes,12477,8.133637548891786,2016,commendable,0,0,No,18.142857142857142,127
1308.1829v1,No,4130,12.111436950146627,2013,commendable,0,0,No,31.0,124
1808.02702v2,No,51014,80.33700787401575,2018,commendable,0,0,No,15.142857142857142,106
2106.05908v1,Yes,10919,50.31797235023041,2021,commendable,0,0,No,28.125,225
1211.2758v1,No,2336,15.267973856209151,2012,commendable,0,0,No,14.666666666666666,44
1401.8236v3,Yes,13549,10.021449704142013,2014,commendable,0,0,No,15.285714285714286,107
1108.2245v3,Yes,9267,8.12182296231376,2011,commendable,0,0,No,15.0,75
1012.4769v1,Yes,15575,13.47318339100346,2010,commendable,0,0,Yes,21.75,174
1212.4614v1,No,7181,30.55744680851064,2012,commendable,0,0,No,24.0,144
1305.1455v1,No,3818,13.833333333333334,2013,commendable,0,0,No,22.25,89
1501.07790v2,No,8761,11.871273712737128,2015,commendable,0,0,No,19.0,133
2105.14525v2,No,4748,12.050761421319796,2021,commendable,0,0,No,12.666666666666666,38
2003.13731v2,Yes,15133,7.977332630469162,2020,commendable,0,0,No,21.333333333333332,128
0712.2526v3,No,8219,10.260923845193508,2007,commendable,0,0,No,17.333333333333332,156
1411.7181v2,No,12472,9.405731523378584,2014,commendable,0,0,No,20.75,166
1112.1238v1,No,13585,9.87281976744186,2011,commendable,0,0,No,17.2,86
2004.02481v1,Yes,10220,11.653363740022805,2020,commendable,0,0,Yes,19.857142857142858,139
1404.4943v1,Yes,18683,8.098396185522324,2014,commendable,0,0,No,21.714285714285715,152
1103.3117v1,No,7896,11.560761346998536,2011,commendable,0,0,No,20.8,208
1304.1462v2,No,5502,9.42123287671233,2013,commendable,0,0,No,20.0,140
2104.03510v3,Yes,2941,8.912121212121212,2021,commendable,0,0,No,18.666666666666668,112
2306.06207v1,Yes,2071,10.004830917874395,2023,commendable,0,0,No,14.88888888888889,134
2005.07495v1,Yes,11810,14.652605459057073,2020,commendable,0,0,No,24.153846153846153,314
1011.6258v1,Yes,7689,10.447010869565217,2010,commendable,0,0,Yes,19.5,156
2104.11788v2,No,2720,10.342205323193916,2021,commendable,0,0,No,34.5,138
2204.03010v1,No,3480,14.20408163265306,2022,commendable,0,0,No,25.714285714285715,180
2310.02621v1,No,8567,11.097150259067355,2023,commendable,0,0,No,25.0,175
2303.04462v2,Yes,10388,9.931166347992352,2023,commendable,0,0,No,21.3,213
2305.01748v1,No,3931,11.011204481792715,2023,commendable,0,0,No,24.75,99
2110.07648v1,Yes,8324,10.938239159001316,2021,commendable,0,0,No,25.8,258
2211.02440v2,Yes,9701,11.332943925233645,2022,commendable,0,0,No,29.555555555555557,266
2402.13423v1,No,7760,12.416,2024,commendable,0,0,No,24.0,264
1810.12734v1,No,3292,11.841726618705035,2018,commendable,0,0,No,23.285714285714285,163
1706.00516v1,Yes,9761,9.616748768472906,2017,commendable,0,0,No,22.545454545454547,248
1901.00399v1,Yes,9364,14.406153846153844,2018,commendable,0,0,No,18.692307692307693,243
1906.10551v1,Yes,10606,12.886998784933173,2019,commendable,0,0,No,19.09090909090909,210
2303.15529v3,No,13019,11.400175131348512,2023,commendable,0,0,No,18.6875,299
1911.12300v1,No,9103,10.811163895486937,2019,commendable,0,0,No,21.125,169
1605.03747v1,Yes,5731,10.161347517730496,2016,commendable,0,0,No,18.0,144
1604.05869v1,Yes,8803,16.33209647495362,2016,commendable,0,0,No,17.2,86
1512.08483v2,Yes,6283,11.592250922509225,2015,commendable,0,0,No,13.5,27
1503.07419v5,Yes,6359,11.156140350877193,2015,commendable,0,0,No,16.5,33
1307.1434v1,Yes,10753,9.652603231597846,2013,commendable,0,0,No,18.333333333333332,110
1511.06697v4,Yes,12845,11.287346221441124,2015,commendable,0,0,No,23.75,95
1809.01192v4,Yes,12943,12.10757717492984,2018,commendable,0,0,Yes,14.6,73
1904.01565v1,Yes,5196,11.546666666666669,2019,commendable,0,0,No,14.857142857142858,104
2006.09885v1,Yes,7831,14.555762081784389,2020,commendable,0,0,Yes,16.333333333333332,196
0803.3774v2,Yes,7976,8.650759219088938,2008,commendable,0,0,No,13.0,143
2006.06675v2,Yes,6828,9.53631284916201,2020,commendable,0,0,Yes,14.642857142857142,205
2010.12737v1,No,5980,15.492227979274611,2020,commendable,0,0,No,28.11111111111111,253
1309.5857v1,Yes,9404,7.261776061776062,2013,commendable,0,0,No,16.833333333333332,202
1808.00853v1,No,5707,12.273118279569893,2018,commendable,0,0,No,14.5,203
2401.02810v2,Yes,7135,14.681069958847736,2024,commendable,0,0,No,16.0,144
2103.16339v1,Yes,10227,11.933488914819137,2021,commendable,0,0,Yes,21.75,174
0704.1338v1,No,5848,5.212121212121212,2007,commendable,0,0,No,25.0,100
2012.07915v1,Yes,11098,10.469811320754715,2020,commendable,0,0,No,17.25,207
2201.09766v1,Yes,11085,11.451446280991735,2022,commendable,0,0,No,16.5,297
2307.07225v1,Yes,10308,8.497938994229184,2023,commendable,0,0,No,21.555555555555557,194
1607.06719v1,Yes,1506,10.386206896551723,2016,commendable,0,0,No,13.222222222222221,119
1412.5013v1,Yes,3911,8.251054852320674,2014,commendable,0,0,No,14.5,29
1811.11692v1,Yes,6688,12.385185185185184,2018,commendable,0,0,No,17.571428571428573,123
1303.6612v2,Yes,4121,9.765402843601896,2013,commendable,0,0,No,27.0,81
2107.03957v1,Yes,14036,5.536883629191322,2021,commendable,0,0,No,18.75,150
2103.09587v2,No,7631,8.19656283566058,2021,commendable,0,0,No,16.5,99
2111.13524v1,No,8476,5.75033921302578,2021,commendable,0,0,No,14.666666666666666,44
2005.04042v2,No,11082,6.211883408071749,2020,commendable,0,0,No,17.0,85
2005.05907v2,No,15449,10.445571331981068,2020,commendable,0,0,No,18.2,91
2006.01903v2,Yes,7845,9.47463768115942,2020,commendable,0,0,No,12.25,98
2006.15178v3,No,8876,8.542829643888354,2020,commendable,0,0,No,26.166666666666668,157
2109.02743v1,Yes,10742,9.882244710211593,2021,commendable,0,0,Yes,20.5,123
2007.09104v2,Yes,7882,9.718865598027127,2020,commendable,0,0,No,20.2,101
2008.05420v3,No,13656,8.37277743715512,2020,commendable,0,0,No,12.428571428571429,87
2011.14404v1,No,9206,15.81786941580756,2020,commendable,0,0,No,15.875,127
2108.00081v1,No,14266,12.048986486486486,2021,commendable,0,0,No,18.125,145
2108.06976v1,Yes,8801,9.196447230929987,2021,commendable,0,0,No,21.333333333333332,128
2108.06984v1,No,8475,8.466533466533466,2021,commendable,0,0,No,19.0,152
2108.09282v1,Yes,14000,6.047516198704104,2021,commendable,0,0,No,15.0,150
2111.13523v1,No,9893,5.3737099402498645,2021,commendable,0,0,No,22.666666666666668,136
2111.13527v1,Yes,7783,9.232502965599052,2021,commendable,0,0,No,15.538461538461538,202
2004.11772v4,No,10525,9.380570409982177,2020,commendable,0,0,No,21.666666666666668,130
1306.2187v1,No,8646,12.386819484240688,2013,commendable,0,0,No,18.2,91
1605.01752v1,Yes,4824,13.982608695652171,2016,commendable,0,0,No,16.428571428571427,115
2108.05244v1,Yes,16640,9.557725445146469,2021,commendable,0,0,No,21.0,147
1307.1994v1,Yes,8413,6.14536157779401,2013,commendable,0,0,No,22.125,177
1806.10389v1,Yes,9042,12.16958277254374,2018,commendable,0,0,No,25.285714285714285,177
2405.19378v1,Yes,6190,9.036496350364963,2024,commendable,0,0,No,18.8,188
1006.0474v1,No,3695,9.698162729658792,2010,commendable,0,0,No,22.4,112
1003.5688v1,No,14539,11.183846153846154,2010,commendable,0,0,No,18.363636363636363,202
0907.5079v2,No,17057,13.526566217287868,2009,commendable,0,0,No,28.0,280
0710.0050v1,No,8608,12.03916083916084,2007,commendable,0,0,No,25.4,127
2009.04342v2,Yes,9143,8.601128880526812,2020,commendable,0,0,No,19.8,198
2312.03437v1,Yes,13379,8.581783194355356,2023,commendable,0,0,Yes,25.125,201
1808.00100v2,Yes,12091,7.647691334598355,2018,commendable,0,0,No,13.2,264
1911.03098v4,Yes,9673,11.353286384976526,2019,commendable,0,0,No,24.875,199
2404.04070v1,Yes,9011,10.158962795941376,2024,commendable,0,0,No,17.4,174
1910.11027v2,Yes,22866,13.006825938566552,2019,commendable,0,0,No,19.181818181818183,211
2204.06112v2,Yes,12966,11.025510204081632,2022,commendable,0,0,No,11.23076923076923,146
2404.06198v2,Yes,11949,8.212371134020618,2024,commendable,0,0,Yes,24.666666666666668,148
1912.05974v3,Yes,20437,10.384654471544716,2019,commendable,0,0,No,17.23076923076923,224
2104.04157v3,Yes,24681,8.92622061482821,2021,commendable,0,0,Yes,16.416666666666668,197
2308.09394v2,Yes,13751,9.503109882515547,2023,commendable,0,0,Yes,18.666666666666668,168
2209.00322v1,Yes,14123,7.704855428259684,2022,commendable,0,0,Yes,10.05,201
1407.0921v1,No,14998,9.024067388688326,2014,commendable,0,0,No,15.625,125
2106.08903v10,Yes,11651,8.941673062164236,2021,commendable,0,0,Yes,16.7,167
1507.06810v1,No,16389,12.844043887147336,2015,commendable,0,0,No,16.833333333333332,202
1502.07903v1,No,5609,10.34870848708487,2015,commendable,0,0,No,21.428571428571427,150
2308.10776v1,Yes,9423,12.03448275862069,2023,commendable,0,0,No,24.88888888888889,224
1701.07208v2,Yes,13692,11.895742832319725,2017,commendable,0,0,No,10.0,80
2107.01613v1,No,15925,14.21875,2021,commendable,0,0,No,21.0,126
1807.03626v1,No,2612,13.604166666666666,2018,commendable,0,0,No,12.5625,201
1610.04430v2,No,13402,16.264563106796118,2016,commendable,0,0,No,17.285714285714285,121
1711.00103v2,No,11118,14.037878787878787,2017,commendable,0,0,No,24.0,192
1803.04744v4,Yes,10113,13.015444015444016,2018,commendable,0,0,No,21.666666666666668,130
1611.01934v2,Yes,6860,12.943396226415096,2016,commendable,0,0,No,13.2,198
1712.04922v2,Yes,25299,16.30090206185567,2017,commendable,0,0,No,23.7,237
1902.03428v1,No,20571,16.046021840873635,2019,commendable,0,0,No,21.0,294
1811.00955v1,Yes,15078,12.052757793764988,2018,commendable,0,0,No,14.842105263157896,282
2101.00694v3,No,12166,18.80370942812983,2021,commendable,0,0,No,25.666666666666668,231
2203.01741v1,Yes,14902,14.287631831255991,2022,commendable,0,0,No,20.75,249
1701.03263v2,No,13869,18.296833773087076,2017,commendable,0,0,No,22.846153846153847,297
2202.07932v3,No,18551,14.549803921568628,2022,commendable,0,0,No,24.454545454545453,269
1907.03526v1,No,15461,15.0986328125,2019,commendable,0,0,No,19.875,318
2403.16117v1,Yes,13916,16.314185228604924,2024,commendable,0,0,No,21.0,315
1701.07242v1,No,10551,16.511737089201876,2017,commendable,0,0,No,15.25,122
1810.01223v2,Yes,15318,7.940902021772939,2018,commendable,0,0,No,20.46153846153846,266
1302.4213v1,Yes,17386,13.809372517871326,2013,commendable,0,0,No,15.363636363636363,169
1705.04587v1,No,8078,11.55650929899857,2017,commendable,0,0,No,19.285714285714285,135
1809.10428v1,Yes,11554,16.72069464544139,2018,commendable,0,0,No,17.875,143
1905.08592v1,Yes,5372,13.00726392251816,2019,commendable,0,0,Yes,20.833333333333332,125
1310.0398v1,No,18949,17.792488262910798,2013,commendable,0,0,No,22.384615384615383,291
1504.04650v2,No,13032,12.0,2015,commendable,0,0,No,19.9,199
1604.07286v2,No,9267,9.8271474019088,2016,commendable,0,0,No,19.4,194
1810.07510v1,Yes,12942,17.073878627968337,2018,commendable,0,0,No,19.53846153846154,254
1811.00950v1,Yes,8888,12.625,2018,commendable,0,0,No,24.5,294
2210.02361v2,Yes,9850,9.06998158379374,2022,commendable,0,0,No,21.3,213
2404.15917v1,No,24525,14.659294680215185,2024,commendable,0,0,No,15.529411764705882,264
2202.11902v2,No,21825,16.154700222057734,2022,commendable,0,0,No,21.636363636363637,238
1604.07153v1,Yes,13251,14.248387096774191,2016,commendable,0,0,No,20.785714285714285,291
1909.11970v1,No,17575,15.762331838565023,2019,commendable,0,0,No,22.714285714285715,318
2008.12928v3,No,11954,10.156329651656756,2020,commendable,0,0,No,26.833333333333332,322
2010.09255v1,No,5689,7.934449093444909,2020,commendable,0,0,No,11.807692307692308,307
2011.06150v2,Yes,14832,10.63225806451613,2020,commendable,0,0,No,17.058823529411764,290
