Authors,PubDate,Title,Abstract,IDlist
"['Maria R. Cervera', 'Rafael Dätwyler', ""Francesco D'Angelo"", 'Hamza Keurti', 'Benjamin F. Grewe', 'Christian Henning']",2021-11-23T10:18:41Z,Uncertainty estimation under model misspecification in neural network   regression,"  Although neural networks are powerful function approximators, the underlying modelling assumptions ultimately define the likelihood and thus the hypothesis class they are parameterizing. In classification, these assumptions are minimal as the commonly employed softmax is capable of representing any categorical distribution. In regression, however, restrictive assumptions on the type of continuous distribution to be realized are typically placed, like the dominant choice of training via mean-squared error and its underlying Gaussianity assumption. Recently, modelling advances allow to be agnostic to the type of continuous distribution to be modelled, granting regression the flexibility of classification models. While past studies stress the benefit of such flexible regression models in terms of performance, here we study the effect of the model choice on uncertainty estimation. We highlight that under model misspecification, aleatoric uncertainty is not properly captured, and that a Bayesian treatment of a misspecified model leads to unreliable epistemic uncertainty estimates. Overall, our study provides an overview on how modelling choices in regression may influence uncertainty estimation and thus any downstream decision making process. ",2111.11763v1
"['Christian Henning', 'Maria R. Cervera', ""Francesco D'Angelo"", 'Johannes von Oswald', 'Regina Traber', 'Benjamin Ehret', 'Seijin Kobayashi', 'Benjamin F. Grewe', 'João Sacramento']",2021-03-01T17:08:35Z,Posterior Meta-Replay for Continual Learning,"  Learning a sequence of tasks without access to i.i.d. observations is a widely studied form of continual learning (CL) that remains challenging. In principle, Bayesian learning directly applies to this setting, since recursive and one-off Bayesian updates yield the same result. In practice, however, recursive updating often leads to poor trade-off solutions across tasks because approximate inference is necessary for most models of interest. Here, we describe an alternative Bayesian approach where task-conditioned parameter distributions are continually inferred from data. We offer a practical deep learning implementation of our framework based on probabilistic task-conditioned hypernetworks, an approach we term posterior meta-replay. Experiments on standard benchmarks show that our probabilistic hypernetworks compress sequences of posterior parameter distributions with virtually no forgetting. We obtain considerable performance gains compared to existing Bayesian CL methods, and identify task inference as our major limiting factor. This limitation has several causes that are independent of the considered sequential setting, opening up new avenues for progress in CL. ",2103.01133v3
"['Helena U. Zacharias', 'Christoph Kaleta', 'Francois Cossais', 'Eva Schaeffer', 'Henry Berndt', 'Lena Best', 'Thomas Dost', 'Svea Glüsing', 'Mathieu Groussin', 'Mathilde Poyet', 'Sebastian Heinzel', 'Corinna Bang', 'Leonard Siebert', 'Tobias Demetrowitsch', 'Frank Leypoldt', 'Rainer Adelung', 'Thorsten Bartsch', 'Anja Bosy-Westphal', 'Karin Schwarz', 'Daniela Berg']",2022-08-19T13:39:23Z,Microbiome and metabolome insights into the role of the   gastrointestinal-brain axis in neurodegenerative diseases: unveiling   potential therapeutic targets,"  Due to the aging of the world population and westernization of lifestyles, the prevalence of neurodegenerative diseases such as Alzheimer's disease (AD) and Parkinson's disease (PD) is rapidly rising and is expected to put a strong socioeconomic burden on health systems worldwide. Due to the limited success of clinical trials of therapies against neurodegenerative diseases, research has extended its scope to a systems medicine point of view, with a particular focus on the gastrointestinal-brain axis as a potential main actor in disease development and progression. Microbiome as well as metabolome studies along the gastrointestinal-brain axis have already revealed important insights into disease pathomechanisms. Both the microbiome and metabolome can be easily manipulated by dietary and lifestyle interventions, and might thus offer novel, readily available therapeutic options to prevent the onset as well as the progression of PD and AD. This review summarizes our current knowledge on the association between microbiota, metabolites, and neurodegeneration in light of the gastrointestinal-brain axis. In this context, we also illustrate state-of-the art methods of microbiome and metabolome research as well as metabolic modeling that facilitate the identification of disease pathomechanisms. We conclude our review with therapeutic options to modulate microbiome composition to prevent or delay neurodegeneration and illustrate potential future research directions to fight PD and AD. ",2208.09338v1
"['Ludwig A. Hothorn', 'Mario Hasler']",2023-03-16T10:56:24Z,The Dunnett procedure with possibly heterogeneous variances,"  Most comparisons of treatments or doses against a control are performed by the original Dunnett single step procedure \cite{Dunnett1955} providing both adjusted p-values and simultaneous confidence intervals for differences to the control. Motivated by power arguments, unbalanced designs with higher sample size in the control are recommended. When higher variance occur in the treatment of interest or in the control, the related per-pairs power is reduced, as expected. However, if the variance is increased in a non-affected treatment group, e.g. in the highest dose (which is highly significant), the per-pairs power is also reduced in the remaining treatment groups of interest. I.e., decisions about the significance of certain comparisons may be seriously distorted. To avoid this nasty property, three modifications for heterogeneous variances are compared by a simulation study with the original Dunnett procedure. For small and medium sample sizes, a Welch-type modification can be recommended. For medium to high sample sizes, the use of a sandwich estimator instead of the common mean square estimator is useful. Related CRAN packages are provided. Summarizing we recommend not to use the original Dunnett procedure in routine and replace it by a robust modification. Particular care is needed in small sample size studies. ",2303.09222v1
"['Jan Benedikt', 'Dirk Ellerweg', 'Achim von Keudell']",2011-05-13T11:07:56Z,Diagnostics of low and atmospheric pressure plasmas by means of mass   spectrometry,"  The knowledge of absolute fluxes of reactive species such as radicals or energetic ions to the surface is crucial for understanding the growth or etching of thin films. These species have due to their high reactivity very low densities and their detection is therefore a challenging task. Mass spectrometry is a very sensitive technique and it will be demonstrated that it is a good choice for the study of plasma chemistry. Mass spectrometry measures the plasma composition directly at the surface and is not limited by existence of accessible optical transitions. When properly designed and carefully calibrated mass spectrometry provides absolute densities of the measured species. It can even measure internally excited metastable species. Here, measurement of neutral species and positive ions generated in an atmospheric pressure plasmas jet operated with He, hexamethyldisiloxane and O2 will be presented. ",1105.2687v1
"['Dirk Ellerweg', 'Achim von Keudell', 'Jan Benedikt']",2011-12-06T12:29:08Z,The mystery of O and O3 production in the effluent of a He/O2   atmospheric pressure microplasma jet,"  Microplasma jets are commonly used to treat samples in ambient air atmosphere. The effect of admixing air into the effluent may severely affect the composition of the emerging species. Here, the effluent of a He/O2 microplasma jet has been analyzed in a helium and in an air atmosphere by molecular beam mass spectrometry. First, the composition of the effluent in air has been recorded as a function of the distance to determine how fast air admixes into the effluent. Then, the spatial distribution of atomic oxygen and ozone in the effluent has been recorded in ambient air and compared to measurements in a helium atmosphere. Additionally, a fluid model of the gas flow with reaction kinetics of reactive oxygen species in the effluent has been constructed. In ambient air, the O density declines only slightly faster with the distance compared to a helium atmosphere. On the contrary, the O3 density in ambient air increases significantly faster with the distance compared to a helium atmosphere. This mysterious behavior can have big implication for the use of similar jets in plasma medicine. It is shown that photodissociation of O2 and O3 is not responsible for the observed effect. A reaction scheme involving the reaction of plasma produced highly vibrationally excited O2 with ground state O2 molecules is proposed as a possible explanation of the observed densities. A very good agreement between measured and simulated densities is achieved. ",1112.1252v1
"['Tristan Winzer', 'Natascha Blosczyk', 'Jan Benedikt', 'Judith Golda']",2021-02-24T08:40:53Z,Multi-diagnostic approach to energy transport in an atmospheric pressure   helium-oxygen plasma jet,"  The energy balance of a plasma holds fundamental information not only about basic plasma physics, but it is also important for tailoring plasmas to specific applications. Especially RF-driven atmospheric pressure plasma jets (APPJs) operated in helium with oxygen admixture have high application potential in industry and medicine. Many types of plasma jets have been studied up to now, leading to the challenge how to compare results from various sources. We have developed a method for measuring the power deposited in the plasma as the parameter to compare different sources and gas mixtures with each other. Furthermore, we studied energy transport as a function of this input power and molecular gas admixture in a newly developed APPJ based on the COST-reference jet with a capillary as a dielectric in between the electrodes. The gas temperature, atomic oxygen density, ozone density and absolute emission intensity in the visible wavelength range have been determined. Combining the results gave an energy balance with most of the energy deposited into gas heating. Production of final chemical products made up a small amount of the deposited power while radiation was negligible for all combinations of external parameters studied. ",2102.12126v1
"['Jan Benedikt', 'Rüdiger Reuter', 'Dirk Ellerweg', 'Katja Rügner', 'Achim von Keudell']",2011-05-13T11:23:12Z,Deposition of SiOx films by means of atmospheric pressure microplasma   jets,"  Atmospheric pressure plasma jet sources are currently in the focus of many researchers for their promising applications in medical industry (e.g. treatment of living tissues), surface modification or material etching or synthesis. Here we report on the study of fundamental principles of deposition of SiOx films from microplasma jets with admixture of hexamethyldisiloxane [(CH3)3SiOSi(CH3)3, HMDSO] molecules and oxygen. The properties of the deposited films, the composition of the plasma as measured by molecular beam mass spectrometry and the effect of additional treatment of grown film by oxygen or hydrogen atoms will be presented. ",1105.2691v1
"['Felix Mitschker', 'Marina Prenzel', 'Jan Benedikt', 'Christian Maszl', 'Achim von Keudell']",2013-05-30T11:09:19Z,Time resolved measurement of film growth during reactive high power   pulsed magnetron sputtering (HIPIMS) of titanium nitride,"  The growth rate during reactive high power pulsed magnetron sputtering (HIPIMS) of titanium nitride is measured with a temporal resolution of up to 25 us using a rotating shutter concept. According to that concept a 200 um slit is rotated in front of the substrate synchronous with the HIPIMS pulses. Thereby, the growth flux is laterally distributed over the substrate. By measuring the resulting deposition profile with profilometry and with x-ray photoelectron spectroscopy, the temporal variation of the titanium and nitrogen growth flux per pulse is deduced. The analysis reveals that film growth occurs mainly during a HIPIMS pulse, with the growth rate following the HIPIMS phases ignition, current rise, gas rarefaction, plateau and afterglow. The growth fluxes of titanium and nitrogen follow slightly different behaviors with titanium dominating at the beginning of the HIPIMS pulse and nitrogen at the end of the pulse. This is explained by the gas rarefaction effect resulting in a dense initial metal plasma and metal films which are subsequently being nitrified. ",1305.7063v1
"['Christian Maszl', 'Wolfgang Breilmann', 'Lars Berscheid', 'Jan Benedikt', 'Achim von Keudell']",2014-05-20T15:30:21Z,Fast time resolved techniques as key to the understanding of energy and   particle transport in HPPMS-plasmas,  High power pulsed magnetron sputtering (HPPMS) plasmas are pulsed discharges where the plasma composition as well as the fluxes and energies of ions are changing during the pulse. The time resolved energy distribution for Ar$^{1+}$ ions was measured and Phase Resolved Optical Emission Spectroscopy (PROES) for the Ar I line at 760 nm was done to get more insight in the transport properties of the plasma forming noble gas. These measurements were performed during HPPMS of titanium with argon at 0.5 Pa. The peak power density during the 50 $\mu$s pulses was 1.8 kW/cm$^2$. In this contribution we demonstrate how time resolved mass spectrometry and ICCD cameras can be used to shed more light on energy and particle transport in HPPMS-plasmas. ,1405.5123v1
"['Simon Schneider', 'Jan-Wilm Lackmann', 'Dirk Ellerweg', 'Benjamin Denis', 'Franz Narberhaus', 'Julia E. Bandow', 'Jan Benedikt']",2011-05-31T12:55:26Z,The role of VUV radiation in the inactivation of bacteria with an   atmospheric pressure plasma jet,"  A modified version of a micro scale atmospheric pressure plasma jet (\mu-APPJ) source, so-called X-Jet, is used to study the role of plasma generated VUV photons in the inactivation of E. coli bacteria. The plasma is operated in He gas or a He/O2 mixture and the X-Jet modification of the jet geometry allows effective separation of heavy reactive particles (such as O atoms or ozone molecules) from the plasma-generated photons. The measurements of the evolution of zone of inhibitions formed in monolayers of vegetative E. coli bacteria, of VUV emission intensity and of positive ion spectra show that photochemistry in the gas phase followed by photochemistry products impacting on bacteria can result in bacterial inactivation. Interestingly, this process is more effective than direct inactivation by VUV radiation damage. Mainly protonated water cluster ions are detected by mass spectrometry indicating that water impurity has to be carefully considered. The measurements indicate that the combination of the presence of water cluster ions and O2 molecules at the surface leads to the strongest effect. Additionally, it seem that the interaction of VUV photons with effluent of He/O2 plasma leads to enhanced formation of O3, which is not the case when only O2 molecules and gas impurities at room temperature interacts with plasma generated VUV photons. ",1105.6260v1
"['Christian Maszl', 'Wolfgang Breilmann', 'Jan Benedikt', 'Achim von Keudell']",2013-11-29T12:38:51Z,Origin of the energetic ions at the substrate generated during high   power pulsed magnetron sputtering of titanium,"  HiPIMS plasmas generate energetic metal ions at the substrate as a major difference to conventional direct current magnetron sputtering. The origin of these ions is still an open issue, which is unraveled by using two fast diagnostics: time resolved mass spectrometry with a temporal resolution of 2 $\mu$s and phase resolved optical emission spectroscopy with a temporal resolution of 1 $\mu$s. A power scan from dcMS-like to HiPIMS plasmas was performed, with a 2-inch magnetron and a titanium target as sputter source and argon as working gas. Clear differences in the transport as well in the energetic properties of Ar$^{+}$, Ar$^{2+}$, Ti$^+$ and Ti$^{2+}$ were observed. For discharges with highest peak power densities a high energetic group of Ti$^+$ and Ti$^{2+}$ could be identified. A cold group of ions is always present. It is found that hot ions are observed only, when the plasma enters the spokes regime, which can be monitored by oscillations in the IV-characteristics in the MHz range that are picked up by the used VI-probes. These oscillations are correlated with the spokes phenomenon and are explained as an amplification of the Hall current inside the spokes as hot ionization zones. To explain the presence of energetic ions, we propose a double layer (DL) confining the hot plasma inside a spoke: if an atom becomes ionized inside the spokes region it is accelerated because of the DL to higher energies whereas its energy remains unchanged if it is ionized outside. In applying this DL model to our measurements the observed phenomena as well as several measurements from other groups can be explained. Only if spokes and a double layer are present the confined particles can gain enough energy to leave the magnetic trap. We conclude from our findings that the spoke phenomenon represents the essence of HiPIMS plasmas, explaining their good performance for material synthesis applications. ",1311.7545v3
"['Carles Corbella', 'Simon Grosse-Kreul', 'Oliver Kreiter', 'Teresa de los Arcos', 'Jan Benedikt', 'Achim von Keudell']",2013-06-06T15:13:00Z,Particle beam experiments for the investigation of plasma-surface   interactions: application to magnetron sputtering and polymer treatment,"  A beam experiment is presented to study heterogeneous reactions relevant to plasma-surface interactions. Atom and ion beams are focused onto the sample to expose it to quantified beams of oxygen, nitrogen, hydrogen, noble gas ions and metal vapor. The heterogeneous surface processes are monitored in-situ and in real time by means of a quartz crystal microbalance (QCM) and Fourier transform infrared spectroscopy (FTIR). Two examples illustrate the capabilities of the particle beam setup: oxidation and nitriding of aluminum as a model of target poisoning during reactive magnetron sputtering, and plasma treatment of polymers (PET, PP). ",1306.1431v1
"['Teresa de los Arcos', 'Peter Awakowicz', 'Jan Benedikt', 'Beatrix Biskup', 'Marc Böke', 'Nils Boysen', 'Rahel Buschhaus', 'Rainer Dahlmann', 'Anjana Devi', 'Tobias Gergs', 'Jonathan Jenderny', 'Achim von Keudell', 'Thomas D. Kühne', 'Simon Kusmierz', 'Hendrik Müller', 'Thomas Mussenbrock', 'Jan Trieschmann', 'David Zanders', 'Frederik Zysk', 'Guido Grundmeier']",2023-06-21T12:06:11Z,PECVD and PEALD on polymer substrates (part I): Fundamentals and   analysis of plasma activation and thin film growth,"  This feature article considers the analysis of the initial states of film growth on polymer substrates. The assembled results are based on the cooperation between research groups in the field of plasma physics, chemistry, electric as well as mechanical engineering over the last years, mostly within the frame of the transregional project SFB-TR 87 (""Pulsed high power plasmas for the synthesis of nanostructured functional layers""). This feature article aims at bridging the gap between the understanding of plasma processes in the gas phase and the resulting surface and interface processes of the polymer. The results show that interfacial adhesion and initial film growth can be well controlled and even predicted based on the combination of analytical approaches. ",2307.00011v1
"['Michael Bauer', 'Kay Brandner', 'Udo Seifert']",2016-02-12T16:58:43Z,"Optimal performance of periodically driven, stochastic heat engines   under limited control","  We consider the performance of periodically driven stochastic heat engines in the linear response regime. Reaching the theoretical bounds for efficiency and efficiency at maximum power typically requires full control over the design and the driving of the system. We develop a framework which allows to quantify the role that limited control over the system has on the performance. Specifically, we show that optimizing the driving entering the work extraction for a given temperature protocol leads to a universal, one-parameter dependence for both maximum efficiency and maximum power as a function of efficiency. In particular, we show that reaching Carnot efficiency (and, hence, Curzon-Ahlborn efficiency at maximum power) requires to have control over the amplitude of the full Hamiltonian of the system. Since the kinetic energy cannot be controlled by an external parameter, heat engines based on underdamped dynamics can typically not reach Carnot efficiency. We illustrate our general theory with a paradigmatic case study of a heat engine consisting of an underdamped charged particle in a modulated two-dimensional harmonic trap in the presence of a magnetic field. ",1602.04119v1
"['Kay Brandner', 'Michael Bauer', 'Michael T. Schmid', 'Udo Seifert']",2015-03-16T21:38:46Z,Coherence-enhanced efficiency of feedback-driven quantum engines,"  A genuine feature of projective quantum measurements is that they inevitably alter the mean energy of the observed system if the measured quantity does not commute with the Hamiltonian. Compared to the classical case, Jacobs proved that this additional energetic cost leads to a stronger bound on the work extractable after a single measurement from a system initially in thermal equilibrium [Phys. Rev. A 80, 012322 (2009)]. Here, we extend this bound to a large class of feedback-driven quantum engines operating periodically and in finite time. The bound thus implies a natural definition for the efficiency of information to work conversion in such devices. For a simple model consisting of a laser-driven two-level system, we maximize the efficiency with respect to the observable whose measurement is used to control the feedback operations. We find that the optimal observable typically does not commute with the Hamiltonian and hence would not be available in a classical two level system. This result reveals that periodic feedback engines operating in the quantum realm can exploit quantum coherences to enhance efficiency. ",1503.04865v1
"['Kay Brandner', 'Michael Bauer', 'Udo Seifert']",2017-03-07T16:42:19Z,Universal Coherence-Induced Power Losses of Quantum Heat Engines in   Linear Response,"  We introduce a universal scheme to divide the power output of a periodically driven quantum heat engine into a classical contribution and one stemming solely from quantum coherence. Specializing to Lindblad-dynamics and small driving amplitudes, we derive general upper bounds on both, the coherent and the total power. These constraints imply that, in the linear-response regime, coherence inevitably leads to power losses. To illustrate our general analysis, we explicitly work out the experimentally relevant example of a single-qubit engine. ",1703.02464v1
"['Mario Heidernätsch', 'Michael Bauer', 'Günter Radons']",2013-03-07T14:34:35Z,Characterizing N-dimensional anisotropic Brownian motion by the   distribution of diffusivities,"  Anisotropic diffusion processes emerge in various fields such as transport in biological tissue and diffusion in liquid crystals. In such systems, the motion is described by a diffusion tensor. For a proper characterization of processes with more than one diffusion coefficient an average description by the mean squared displacement is often not sufficient. Hence, in this paper, we use the distribution of diffusivities to study diffusion in a homogeneous anisotropic environment. We derive analytical expressions of the distribution and relate its properties to an anisotropy measure based on the mean diffusivity and the asymptotic decay of the distribution. Both quantities are easy to determine from experimental data and reveal the existence of more than one diffusion coefficient, which allows the distinction between isotropic and anisotropic processes. We further discuss the influence on the analysis of projected trajectories, which are typically accessible in experiments. For the experimentally relevant cases of two- and three-dimensional anisotropic diffusion we derive specific expressions, determine the diffusion tensor, characterize the anisotropy, and demonstrate the applicability for simulated trajectories. ",1303.1702v2
"['Rohan Yadav', 'Shiv Sundram', 'Wonchan Lee', 'Michael Garland', 'Michael Bauer', 'Alex Aiken', 'Fredrik Kjolstad']",2024-06-26T06:51:43Z,Composing Distributed Computations Through Task and Kernel Fusion,"  We introduce Diffuse, a system that dynamically performs task and kernel fusion in distributed, task-based runtime systems. The key component of Diffuse is an intermediate representation of distributed computation that enables the necessary analyses for the fusion of distributed tasks to be performed in a scalable manner. We pair task fusion with a JIT compiler to fuse together the kernels within fused tasks. We show empirically that Diffuse's intermediate representation is general enough to be a target for two real-world, task-based libraries (cuNumeric and Legate Sparse), letting Diffuse find optimization opportunities across function and library boundaries. Diffuse accelerates unmodified applications developed by composing task-based libraries by 1.86x on average (geo-mean), and by between 0.93x--10.7x on up to 128 GPUs. Diffuse also finds optimization opportunities missed by the original application developers, enabling high-level Python programs to match or exceed the performance of an explicitly parallel MPI library. ",2406.18109v1
"['Rohan Yadav', 'Michael Bauer', 'David Broman', 'Michael Garland', 'Alex Aiken', 'Fredrik Kjolstad']",2024-06-26T06:57:26Z,Automatic Tracing in Task-Based Runtime Systems,"  Implicitly parallel task-based runtime systems often perform dynamic analysis to discover dependencies in and extract parallelism from sequential programs. Dependence analysis becomes expensive as task granularity drops below a threshold. Tracing techniques have been developed where programmers annotate repeated program fragments (traces) issued by the application, and the runtime system memoizes the dependence analysis for those fragments, greatly reducing overhead when the fragments are executed again. However, manual trace annotation can be brittle and not easily applicable to complex programs built through the composition of independent components. We introduce Apophenia, a system that automatically traces the dependence analysis of task-based runtime systems, removing the burden of manual annotations from programmers and enabling new and complex programs to be traced. Apophenia identifies traces dynamically through a series of dynamic string analyses, which find repeated program fragments in the stream of tasks issued to the runtime system. We show that Apophenia is able to come between 0.92x--1.03x the performance of manually traced programs, and is able to effectively trace previously untraced programs to yield speedups of between 0.91x--2.82x on the Perlmutter and Eos supercomputers. ",2406.18111v1
